Airport,Latitude,Longitude,Country
JOG,-7.7877,110.432,INDONESIA
JOI,-26.2242,-48.797,BRAZIL
JON,16.7306,-169.534,JOHNSTON ATOLL
JOT,41.5178,-88.1755,USA
JPA,-7.146,-35.896,BRAZIL
JRB,40.7012,-74.009,USA
JRH,26.7347,94.176,INDIA
JRO,-3.4245,37.074,TANZANIA
JSA,26.8706,70.864,INDIA
JSH,35.217,26.098,GREECE
JSI,39.1766,23.504,GREECE
JSJ,47.11,132.6603,CHINA
JSR,23.1771,89.161,BANGLADESH
JTC,-22.1669,-49.0503,BRAZIL
JTR,36.4003,25.479,GREECE
JUB,4.8675,31.601,SUDAN
JUH,30.7403,117.6856,CHINA
JUJ,-24.386,-65.098,ARGENTINA
JUL,-15.4705,-70.158,PERU
JUZ,28.9658,118.899,CHINA
JXA,45.293,131.193,CHINA
JYR,28.7269,57.6703,IRAN
JZH,32.8533,103.6822,CHINA
KAD,10.6941,7.32,NIGERIA
KAJ,64.2818,27.692,FINLAND
KAN,12.0456,8.524,NIGERIA
KAO,65.9875,29.239,FINLAND
KBL,34.5614,69.212,AFGHANISTAN
KBP,50.3382,30.895,RUSSIA
KBR,6.1698,102.294,MALAYSIA
KBV,8.0993,98.98,THAILAND
KCA,41.6779,82.8729,CHINA
KCH,1.487,110.346,MALAYSIA
KCM,37.5362,36.97,TURKEY
KCO,40.739,30.1,TURKEY
KCZ,33.5474,133.671,JAPAN
KDI,-4.0772,122.417,INDONESIA
KEF,63.9786,-22.606,ICELAND
KEJ,55.2821,86.107,RUSSIA
KEM,65.781,24.599,FINLAND
KER,30.2586,56.957,IRAN
KFE,-22.2908,119.4371,AUSTRALIA
KFS,41.3169,33.8,TURKEY
KGD,54.8824,20.592,RUSSIA
KGF,49.6708,73.3344,KAZAKHSTAN
KGI,-30.7854,121.462,AUSTRALIA
KGL,-1.9631,30.139,RWANDA
KGS,36.8014,27.092,GREECE
KGT,30.1575,101.7347,CHINA
KHD,33.4354,48.2829,IRAN
KHE,46.6722,32.51,UKRAINE
KHG,39.535,76.022,CHINA
KHH,22.5746,120.351,TAIWAN
KHI,24.9008,67.161,PAKISTAN
KHK,29.2603,50.3239,IRAN
KHN,28.8575,115.917,CHINA
KHV,48.527,135.188,RUSSIA
KIH,26.532,53.982,IRAN
KIJ,37.9559,139.121,JAPAN
KIN,17.9376,-76.787,JAMAICA
KIS,-0.09,34.729,KENYA
KIV,46.9352,28.931,MOLDOVA
KIX,34.432,135.23,JAPAN
KJA,56.1729,92.4933,RUSSIA
KJI,48.2223,86.9959,CHINA
KJT,-6.6516,108.1585,INDONESIA
KKE,-35.2602,173.912,NEW ZEALAND
KKJ,33.8392,131.0333,JAPAN
KKN,69.7214,29.887,NORWAY
KLH,16.6652,74.288,INDIA
KLO,11.6859,122.378,PHILIPPINES
KLR,56.6775,16.288,SWEDEN
KLU,46.65,14.333,AUSTRIA
KLX,37.2867,22.026,GREECE
KMG,25.0966,102.743,CHINA
KMI,31.88,131.448,JAPAN
KMJ,32.837,130.855,JAPAN
KMQ,36.3919,136.408,JAPAN
KNH,24.4291,118.359,TAIWAN
KNO,3.6422,98.8853,INDONESIA
KNX,-15.7839,128.707,AUSTRALIA
KOA,19.7369,-156.046,USA
KOE,-10.1689,123.671,INDONESIA
KOJ,31.8029,130.719,JAPAN
KOS,36.8014,27.09,CAMBODIA
KOW,25.8533,114.7789,CHINA
KPB,56.3519,30.89,UKRAINE
KPO,35.9847,129.42,KOREA
KQT,37.8664,68.8647,TAJIKISTAN
KRK,50.077,19.785,POLAND
KRL,41.6978,86.1289,CHINA
KRN,67.8239,20.337,SWEDEN
KRO,55.4629,65.415,RUSSIA
KRR,45.0335,39.172,RUSSIA
KRS,58.2038,8.085,NORWAY
KRT,15.5928,32.553,SUDAN
KRW,40.05,52.983,TURKMENISTAN
KRY,45.4666,84.9527,CHINA
KSA,5.353,162.958,MICRONESIA
KSC,48.6729,21.241,SLOVAKIA
KSD,59.4447,13.3374,SWEDEN
KSF,51.4164,9.378,GERMANY
KSN,53.2069,63.5503,KAZAKHSTAN
KSQ,38.8336,65.9215,UZBEKISTAN
KSR,-6.1784,120.4394,INDONESIA
KSU,63.1145,7.824,NORWAY
KSY,40.5615,43.11,TURKEY
KTA,-20.7087,116.773,AUSTRALIA
KTG,-1.8168,109.963,INDONESIA
KTM,27.6981,85.359,NEPAL
KTN,55.3554,-131.714,USA
KTR,-14.5211,132.378,AUSTRALIA
KTT,67.6953,24.847,FINLAND
KTW,50.4728,19.08,POLAND
KUA,3.7807,103.209,MALAYSIA
KUF,53.5078,50.15,RUSSIA
KUH,43.041,144.193,JAPAN
KUL,2.7347,101.71,MALAYSIA
KUN,54.9639,24.0848,LITHUANIA
KUO,63.0065,27.798,FINLAND
KUT,42.1767,42.4826,GEORGIA
KUV,35.9038,126.616,SOUTH KOREA
KVA,40.9214,24.619,GREECE
KVD,40.7395,46.2998,AZERBAIJAN
KVX,58.5033,49.3483,RUSSIA
KWA,8.7207,167.731,MARSHALL ISLANDS
KWE,26.5385,106.801,CHINA
KWH,37.8921,70.2038,AFGHANISTAN
KWI,29.2404,47.98,KUWAIT
KWJ,35.1398,126.81,KOREA
KWL,25.2159,110.039,CHINA
KYA,37.9787,32.562,TURKEY
KYZ,51.6694,94.4006,RUSSIA
KZN,55.6081,49.277,RUSSIA
KZO,44.7069,65.5925,KAZAKHSTAN
KZR,39.7934,30.13,TURKEY
LAD,-8.8481,13.231,ANGOLA
LAE,-6.5697,146.726,PAPUA NEW GUINEA
LAF,40.4123,-86.9369,USA
LAN,42.7752,-84.587,USA
LAO,18.1781,120.532,PHILIPPINES
LAP,24.0758,-110.362,MEXICO
LAS,36.2093,-115.152,USA
LAW,34.5677,-98.4166,USA
LAX,33.9416,-118.408,USA
LBA,53.8679,-1.661,UK
LBB,33.66,-101.823,USA
LBD,40.2154,69.6947,TAJIKISTAN
LBG,48.9623,2.441,FRANCE
LBJ,-8.4992,119.889,INDONESIA
LBU,5.2944,115.25,MALAYSIA
LBV,0.4571,9.412,GABON
LCA,34.8723,33.625,CYPRUS
LCG,43.3012,-8.377,SPAIN
LCH,30.123,-93.223,USA
LCK,39.8174,-82.928,USA
LCQ,30.182,-82.5769,USA
LCX,25.6747,116.747,CHINA
LCY,51.5048,0.054,UK
LDB,-23.3286,-51.13,BRAZIL
LDE,43.1801,-0.006,FRANCE
LDJ,40.6174,-74.2446,USA
LDS,47.7521,129.0191,CHINA
LEA,-22.2312,114.089,AUSTRALIA
LED,59.8029,30.265,RUSSIA
LEI,36.845,-2.37,SPAIN
LEJ,51.4221,12.236,GERMANY
LEN,42.589,-5.6556,SPAIN
LET,-4.1918,-69.943,COLOMBIA
LEX,38.0365,-84.6059,USA
LFI,37.0828,-76.36,USA
LFM,27.3727,53.1888,IRAN
LFQ,36.1326,111.6412,CHINA
LFT,30.2055,-91.987,USA
LFW,6.1702,1.254,TOGO
LGA,40.7769,-73.872,USA
LGB,33.8168,-118.151,USA
LGG,50.6412,5.443,BELGIUM
LGK,6.3424,99.729,MALAYSIA
LGP,13.1547,123.46,PHILIPPINES
LGW,51.148,-0.19,UK
LHE,31.521,74.403,PAKISTAN
LHR,51.477,-0.461,UK
LHW,36.515,-81.562,USA
LIG,45.863,1.179,FRANCE
LIH,21.976,-159.339,USA
LIL,50.562,3.089,FRANCE
LIM,-12.022,-77.114,PERU
LIN,45.445,9.277,ITALY
LIR,10.593,-85.544,COSTA RICA
LIS,38.781,-9.136,PORTUGAL
LIT,34.729,-92.224,USA
LJG,26.68,100.246,CHINA
LJU,46.224,14.457,SLOVENIA
LKL,70.069,24.973,NORWAY
LKO,26.761,80.886,INDIA
LLA,65.54,22.12,SWEDEN
LLB,25.4525,107.9617,CHINA
LLI,11.975,38.98,ETHIOPIA
LLJ,-3.2837,102.913,INDONESIA
LLO,-3.0863,120.2427,INDONESIA
LLV,37.6833,111.1428,CHINA
LLW,-13.7894,33.781,MALAWI
LMB,-13.7609,34.5857,MALAWI
LMN,4.8083,115.01,MALAYSIA
LMP,35.498,12.618,ITALY
LMT,42.1561,-121.733,USA
LNA,26.593,-80.085,USA
LNJ,23.7381,100.025,CHINA
LNK,40.851,-96.759,USA
LNL,33.788,105.797,CHINA
LNY,20.786,-156.951,USA
LNZ,48.233,14.183,AUSTRIA
LOP,-8.7573,116.2767,INDONESIA
LOS,6.577,3.321,NIGERIA
LPA,27.932,-15.386,CANARY ISLANDS
LPB,-16.513,-68.192,BOLIVIA
LPF,26.6094,104.979,CHINA
LPL,53.334,-2.85,UK
LPQ,19.897,102.161,LAOS
LRM,18.452,-68.912,DOMINICAN REPUBLIC
LRT,47.761,-3.44,FRANCE
LSC,-29.916,-71.191,CHILE
LSF,32.337,-84.991,USA
LSP,11.7808,-70.1515,VENEZUELA
LST,-41.545,147.214,AUSTRALIA
LSV,36.236,-115.034,USA
LSW,5.2267,96.9503,INDONESIA
LTN,51.874,-0.368,UK
LTO,25.989,-111.348,MEXICO
LUG,46.004,8.911,SWITZERLAND
LUM,24.4011,98.5317,CHINA
LUN,-15.331,28.453,ZAMBIA
LUQ,-33.273,-66.356,ARGENTINA
LUV,-5.6616,132.731,INDONESIA
LUW,-1.039,122.772,INDONESIA
LUX,49.626,6.211,LUXEMBURG
LVI,-17.822,25.822,ZAMBIA
LVK,37.6934,-121.82,USA
LWB,37.8583,-80.3995,USA
LWO,49.813,23.956,RUSSIA
LWS,46.3745,-117.015,USA
LXA,29.2978,90.9119,CHINA
LXR,25.671,32.706,EGYPT
LYA,34.7411,112.388,CHINA
LYG,34.5717,118.8736,CHINA
LYI,35.0461,118.412,CHINA
LYP,31.365,72.995,PAKISTAN
LYR,78.246,15.466,NORWAY
LYS,45.726,5.091,FRANCE
LZH,24.2075,109.391,CHINA
LZN,26.1598,119.958,TAIWAN
LZO,29.0163,105.393,CHINA
LZY,29.3033,94.3353,CHINA
MAA,12.994,80.18,INDIA
MAB,-5.37,-49.138,BRAZIL
MAD,40.472,-3.561,SPAIN
MAF,31.942,-102.202,USA
MAH,39.863,4.219,SPAIN
MAJ,7.065,171.272,MARSHALL ISLANDS
MAL,4.1888,73.5286,MALEDIVES
MAM,25.77,-97.525,MEXICO
MAN,53.354,-2.275,UK
MAO,-3.039,-60.05,BRAZIL
MAR,10.558,-71.728,VENEZUELA
MBA,-4.035,39.594,KENYA
MBE,44.304,143.404,JAPAN
MBJ,18.504,-77.913,JAMAICA
MBX,46.48,15.686,SLOVENIA
MCI,39.297,-94.714,USA
MCO,28.429,-81.316,USA
MCP,0.051,-51.072,BRAZIL
MCT,23.593,58.284,OMAN
MCU,46.224,2.363,FRANCE
MCX,42.817,47.652,RUSSIA
MCY,-26.603,153.091,AUSTRALIA
MCZ,-9.51,-35.793,BRAZIL
MDC,1.549,124.926,INDONESIA
MDE,6.164,-75.423,COLOMBIA
MDG,44.5241,129.569,CHINA
MDH,37.7781,-89.252,USA
MDL,21.702,95.978,MYANMAR
MDQ,-37.934,-57.573,ARGENTINA
MDT,40.193,-76.763,USA
MDW,41.786,-87.752,USA
MDY,28.2,-177.381,MIDWAY ISLAND
MDZ,-32.832,-68.793,ARGENTINA
MEB,-37.728,144.902,AUSTRALIA
MEC,-0.946,-80.678,ECUADOR
MED,24.553,39.705,SAUDI ARABIA
MEL,-37.673,144.843,AUSTRALIA
MEM,35.042,-89.977,USA
MES,3.558,98.672,INDONESIA
MEX,19.436,-99.072,MEXICO
MFE,26.176,-98.239,USA
MFG,34.338,73.508,PAKISTAN
MFK,26.2244,120.001,TAIWAN
MFM,22.149,113.591,MACAU
MFR,42.3742,-122.873,USA
MGA,12.141,-86.168,NICARAGUA
MGE,33.915,-84.516,USA
MGF,-23.44,-51.907,BRAZIL
MGL,51.23,6.504,GERMANY
MGM,32.3006,-86.394,USA
MGQ,2.014,45.305,SOMALIA
MGZ,12.443,98.621,MYANMAR
MHC,-42.3404,-73.7157,CHILE
MHD,36.23,59.64,IRAN
MHK,39.141,-96.6708,USA
MHT,42.9326,-71.4357,USA
MIA,25.793,-80.291,USA
MID,20.937,-89.657,MEXICO
MIG,31.4281,104.741,CHINA
MIR,35.758,10.755,TUNISIA
MJT,39.057,26.598,GREECE
MJU,-2.5904,119.0302,INDONESIA
MJV,37.775,-0.812,SPAIN
MKC,39.1232,-94.5928,USA
MKE,42.947,-87.896,USA
MKQ,-8.52,140.418,INDONESIA
MKW,-0.88,134.05,INDONESIA
MKY,-21.172,149.18,AUSTRALIA
MLA,35.857,14.478,MALTA
MLB,28.103,-80.645,USA
MLE,4.192,73.529,MALDIVES
MLG,-7.926,112.714,INDONESIA
MLN,35.28,-2.956,SPANISH NORTH AFRICA
MLU,32.511,-92.037,USA
MLX,38.436,38.092,TURKEY
MMB,43.881,144.164,JAPAN
MMJ,36.167,137.923,JAPAN
MMK,68.782,32.751,RUSSIA
MMU,40.7994,-74.4149,USA
MMX,55.53,13.371,SWEDEN
MMY,24.783,125.295,JAPAN
MNB,-5.931,12.352,ZAIRE
MNC,-14.488,40.712,MOZAMBIQUE
MNL,14.509,121.019,PHILIPPINES
MOB,30.691,-88.243,USA
MOF,-8.641,122.237,INDONESIA
MOL,62.746,7.272,NORWAY
MPH,11.9245,121.954,PHILIPPINES
MPL,43.576,3.963,FRANCE
MPM,-25.921,32.573,MOZAMBIQUE
MPN,-51.823,-58.447,FALKLAND ISLANDS
MQF,53.393,58.76,RUSSIA
MQL,-34.2292,142.086,AUSTRALIA
MQM,37.23,40.64,TURKEY
MQX,13.467,39.533,ETHIOPIA
MQY,36.009,-86.5201,USA
MRA,32.34,15.04,LIBYA
MRI,61.214,-149.846,USA
MRS,43.436,5.214,FRANCE
MRU,-20.43,57.683,MAURITIUS
MRV,44.225,43.082,RUSSIA
MRY,36.587,-121.843,USA
MSC,33.4608,-111.728,USA
MSJ,40.703,141.368,JAPAN
MSN,43.14,-89.337,USA
MSO,46.9163,-114.091,USA
MSP,44.88,-93.217,USA
MSQ,53.882,28.031,RUSSIA
MSR,38.75,41.65,TURKEY
MST,50.911,5.77,NETHERLANDS
MSY,29.993,-90.258,USA
MTJ,38.5098,-107.894,USA
MTR,8.824,-75.826,COLOMBIA
MTT,18.103,-94.581,MEXICO
MTY,25.778,-100.107,MEXICO
MUC,48.354,11.786,GERMANY
MUN,9.749,-63.152,VENEZUELA
MUO,43.043,-115.872,USA
MUS,24.29,153.98,JAPAN
MUX,30.203,71.419,PAKISTAN
MVD,-34.789,-56.264,URUGUAY
MVW,48.4709,-122.421,USA
MWA,37.755,-89.0111,USA
MWH,47.208,-119.32,USA
MWX,34.9914,126.3828,SOUTH KOREA
MXL,32.631,-115.241,MEXICO
MXP,45.631,8.728,ITALY
MXZ,24.35,116.133,CHINA
MYF,32.8127,-117.1414,USA
MYJ,33.827,132.7,JAPAN
MYP,37.6194,61.8967,TURKMENISTAN
MYQ,12.23,76.6558,INDIA
MYR,33.68,-78.928,USA
MYY,4.325,113.988,MALAYSIA
MZG,23.569,119.628,TAIWAN
MZH,40.829,35.522,TURKEY
MZJ,32.5106,-111.328,USA
MZR,36.707,67.209,AFGHANISTAN
MZT,23.161,-106.266,MEXICO
NAG,21.092,79.047,INDIA
NAJ,39.19,45.46,AZERBAIJAN
NAL,43.5129,43.6366,RUSSIA
NAN,-17.754,177.443,FIJI
NAO,30.7955,106.1626,CHINA
NAP,40.886,14.291,ITALY
NAS,25.039,-77.466,BAHAMAS
NAT,-5.911,-35.248,BRAZIL
NAV,38.79,34.61,TURKEY
NBC,55.5645,52.1013,RUSSIA
NBE,36.0758,10.4386,TUNISIA
NBO,-1.3192,36.9278,KENYA
NBS,42.0669,127.6022,CHINA
NBW,19.9065,-75.2071,CUBA
NBX,-3.368,135.496,INDONESIA
NCA,21.917,-71.939,TURKS & CAICOS I.
NCE,43.661,7.218,FRANCE
NCL,55.038,-1.692,UK
NCU,42.486,59.623,RUSSIA
NDB,20.928,-17.031,MAURITANIA
NDC,19.1833,77.3167,INDIA
NDG,47.2396,123.918,CHINA
NDJ,12.134,15.034,CHAD
NDR,34.9888,-3.0282,MOROCCO
NER,56.9139,124.914,RUSSIA
NEV,17.2057,-62.5899,SAINT KITTS AND NEVIS
NEW,30.0424,-90.0283,USA
NGB,29.825,121.465,CHINA
NGF,21.449,-157.768,USA
NGO,34.8586,136.924,JAPAN
NGQ,32.1,80.0531,CHINA
NGS,32.922,129.923,JAPAN
NGU,36.938,-76.289,USA
NIM,13.481,2.184,NIGER
NIP,30.236,-81.681,USA
NJC,60.95,76.467,RUSSIA
NJF,31.99,44.41,IRAQ
NJK,32.829,-115.672,USA
NKC,18.098,-15.948,MAURITANIA
NKG,31.74,118.86,CHINA
NKT,37.36,42.06,USA
